wavelength,Back_EunCamf,Belly_EunCamf,Breast_EunCamf,Crissum_EunCamf,Crown_EunCamf,DorTail_EunCamf,Rump_EunCamf,Throat_EunCamf,WingTip_EunCamf
246.79,8.29186666667,9.14606666667,9.79059999999,8.80993333333,7.30573333333,15.9833333333,11.2287333333,11.0634,13.0744
247.17,8.1176,8.75086666667,9.1034,8.31159999999,6.9782,15.5555333333,10.6615333333,10.4445,12.9348666667
247.54,7.89720000001,8.44033333333,8.796,7.99813333334,6.705,14.7752666667,10.3388,9.89663333333,12.6124
247.92,7.28366666665,7.66873333334,7.91933333334,7.08886666667,6.09606666667,13.9920666667,9.42233333333,8.86796666667,11.9137333333
248.29,5.52826666667,6.05413333334,6.25059999999,5.50973333333,4.5634,12.4142,7.6956,7.35713333333,10.3064
248.67,5.53953333333,6.25440000001,6.63459999999,5.8052,4.78826666667,12.6048666667,7.88533333333,7.5143,10.3642666667
249.04,6.21386666667,7.35079999999,7.45453333333,6.55333333333,5.48713333333,13.2342,8.61066666667,8.5184,11.1866666667
249.42,6.64179999999,8.11120000001,8.24026666666,7.2624,6.06593333333,13.8296666667,9.34226666667,9.30256666667,11.6804
249.79,6.08733333332,7.96460000001,8.09873333333,7.17626666667,5.79246666667,13.8159333333,9.51453333333,9.12026666666,11.2683333333
250.17,5.94146666667,8.2158,8.20440000001,7.45006666667,5.92993333333,14.0528,9.72446666667,9.52140000001,11.1748666667
250.54,5.23906666667,7.62893333334,7.77980000001,7.26413333333,5.57226666667,13.5472,9.3774,8.82703333333,10.3458
250.92,4.23326666667,6.84186666666,7.07786666667,6.53186666667,4.6512,13.1311333333,8.6216,8.32833333333,9.32253333332
251.29,3.22606666666,6.29473333334,6.53073333333,5.9514,4.0272,12.4677333333,8.51213333333,7.97563333333,7.93979999999
251.66,2.6486,6.0498,6.13973333333,5.0714,3.228,12.408,7.91573333333,7.90073333334,7.04300000001
252.04,2.5146,5.9448,5.92940000001,4.76513333333,3.22846666667,12.3554666667,7.96273333333,8.36633333333,6.83733333334
252.41,4.36346666667,7.82606666666,7.88100000001,6.1104,4.9668,13.5762666667,9.50253333333,9.96876666666,7.82613333333
252.79,4.64019999999,8.62086666667,7.86493333333,6.0314,4.76086666667,13.9687333333,9.988,10.8082666667,7.77646666666
253.16,2.19993333333,6.09566666666,4.9874,3.31653333333,1.98993333333,11.4694,8.16966666668,8.64003333333,5.54986666666
